2022-03-15 17:55:13 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:zookeeper.version=3.4.10-39d3a4f269333c922ed3db283be479f9deacaa0f, built on 03/23/2017 10:13 GMT
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:host.name=yenyen-XPS-13-9360
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:java.version=1.8.0_312
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:java.vendor=Private Build
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:java.class.path=/tmp/cp_ee96z3jidbgl9e6ttuhw0rl28.jar
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:java.io.tmpdir=/tmp
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:java.compiler=<NA>
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:os.name=Linux
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:os.arch=amd64
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:os.version=5.13.0-35-generic
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:user.name=yenyen
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:user.home=/home/yenyen
2022-03-15 17:55:13 INFO  ZooKeeper:100 - Client environment:user.dir=/home/yenyen/workspace/java-wp/hadoop/assignments/assignment2
2022-03-15 17:55:13 INFO  ZooKeeper:438 - Initiating client connection, connectString=127.0.0.1:2181 sessionTimeout=90000 watcher=org.apache.hadoop.hbase.zookeeper.ReadOnlyZKClient$$Lambda$13/1838773404@6e62f5ac
2022-03-15 17:55:13 INFO  ClientCnxn:1032 - Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2022-03-15 17:55:13 INFO  ClientCnxn:876 - Socket connection established to 127.0.0.1/127.0.0.1:2181, initiating session
2022-03-15 17:55:13 INFO  ClientCnxn:1299 - Session establishment complete on server 127.0.0.1/127.0.0.1:2181, sessionid = 0x17f8c9bf73f0031, negotiated timeout = 90000
